Muscle_Group,Workout_Variation,Exercise_Number,Exercise_Name,Exercise_Type
Chest,Chest_Variation_1,1,Barbell Bench Press,Compound
Chest,Chest_Variation_1,2,Incline Barbell Press,Compound
Chest,Chest_Variation_1,3,Cable Crossovers High to Low,Isolation
Chest,Chest_Variation_2,1,Dumbbell Bench Press,Compound
Chest,Chest_Variation_2,2,Incline Dumbbell Press,Compound
Chest,Chest_Variation_2,3,Cable Crossovers High to Low,Isolation
Chest,Chest_Variation_3,1,Machine Bench Press,Isolation
Chest,Chest_Variation_3,2,Incline Dumbbell Press,Compound
Chest,Chest_Variation_3,3,Dips,Compound
Chest,Chest_Variation_4,1,Machine Bench Press,Isolation
Chest,Chest_Variation_4,2,Incline Barbell Press,Compound
Chest,Chest_Variation_4,3,Pec Deck Flyes,Isolation
Chest,Chest_Variation_5,1,Barbell Bench Press,Compound
Chest,Chest_Variation_5,2,Incline Barbell Press,Compound
Chest,Chest_Variation_5,3,Pec Deck Flyes,Compound
Chest,Chest_Variation_6,1,Dumbbell Bench Press,Compound
Chest,Chest_Variation_6,2,Incline Dumbbell Press,Compound
Chest,Chest_Variation_6,3,Pec Deck Flyes,Isolation
Shoulders,Shoulder_Variation_1,1,Barbell Overhead Press,Compound
Shoulders,Shoulder_Variation_1,2,Lateral Raises,Isolation
Shoulders,Shoulder_Variation_2,1,Dumbbell Overhead Press,Compound
Shoulders,Shoulder_Variation_2,2,Cable Lateral Raises,Isolation
Shoulders,Shoulder_Variation_3,1,Machine Shoulder Press,Compound
Shoulders,Shoulder_Variation_3,2,Lateral Raises,Isolation
Shoulders,Shoulder_Variation_4,1,Front Raises,Isolation
Shoulders,Shoulder_Variation_4,2,Cable Lateral Raises,Isolation
Shoulders,Shoulder_Variation_5,1,Barbell Overhead Press,Compound
Shoulders,Shoulder_Variation_5,2,Cable Lateral Raises,Isolation
Shoulders,Shoulder_Variation_6,1,Dumbbell Overhead Press,Compound
Shoulders,Shoulder_Variation_6,2,Lateral Raises,Isolation
Back,Back_Variation_1,1,Seated Rows Close-Grip,Compound
Back,Back_Variation_1,2,Barbell Rows,Compound
Back,Back_Variation_1,3,Lat Pulldowns,Compound
Back,Back_Variation_2,1,Lat Pulldowns,Compound
Back,Back_Variation_2,2,Dumbbell Rows,Compound
Back,Back_Variation_2,3,Seated Rows Close-Grip,Compound
Back,Back_Variation_3,1,Single-Arm Dumbbell Row,Compound
Back,Back_Variation_3,2,T-Bar Rows,Compound
Back,Back_Variation_3,3,Straight Arm Pulldowns,Isolation
Back,Back_Variation_4,1,Lat Pulldowns,Compound
Back,Back_Variation_4,2,Low Cable Rows,Compound
Back,Back_Variation_4,3,Face Pulls,Isolation
Back,Back_Variation_5,1,Barbell Rows,Compound
Back,Back_Variation_5,2,Lat Pulldowns,Compound
Back,Back_Variation_5,3,Single-Arm Dumbbell Row,Isolation
Back,Back_Variation_6,1,T-Bar Rows,Compound
Back,Back_Variation_6,2,Lat Pulldowns,Compound
Back,Back_Variation_6,3,Seated Rows Close-Grip,Compound
Biceps,Biceps_Variation_1,1,Barbell Curls,Isolation
Biceps,Biceps_Variation_1,2,Concentration Curls,Isolation
Biceps,Biceps_Variation_2,1,Dumbbell Curls,Isolation
Biceps,Biceps_Variation_2,2,Preacher Curls,Isolation
Biceps,Biceps_Variation_3,1,Cable Curls,Isolation
Biceps,Biceps_Variation_3,2,Concentration Curls,Isolation
Biceps,Biceps_Variation_4,1,Barbell Curls,Isolation
Biceps,Biceps_Variation_4,2,Incline Dumbbell Curls,Isolation
Biceps,Biceps_Variation_5,1,Dumbbell Curls,Isolation
Biceps,Biceps_Variation_5,2,Spider Curls,Isolation
